PROCEDIMIENTO O

El O
asunto O
se O
originó O
en O
una O
demanda O
( O
no O
. O
74318 B-CODE
/ I-CODE
01 I-CODE
) O
contra O
la O
República B-LOC
de I-LOC
Turquía I-LOC
presentada O
ante O
el O
Tribunal O
en O
virtud O
del O
artículo O
34 O
del O
Convenio O
Europeo O
para O
la O
Protección O
de O
los O
Derechos O
Humanos O
y O
de O
las O
Libertades O
Fundamentales O
( O
" O
el O
Convenio O
" O
) O
por O
doce O
nacionales O
turcos B-NATIONALITY
, O
el O
Sr B-PER
. I-PER
Resul I-PER
Sadak I-PER
, O
el O
Sr B-PER
. I-PER
Nihat I-PER
Osal I-PER
, O
Sr B-PER
. I-PER
Mehmet I-PER
Çakar I-PER
, O
Sr B-PER
. I-PER
Rustem I-PER
Bayar I-PER
, O
Sr B-PER
. I-PER
Tahir I-PER
Kutlu I-PER
, O
Sr B-PER
. I-PER
Cengiz I-PER
Balık I-PER
, O
Sr B-PER
. I-PER
İzzet I-PER
Belge I-PER
, O
Sr B-PER
. I-PER
Abdurrazak I-PER
İnan I-PER
, O
Sr B-PER
. I-PER
Mehmet I-PER
Temelkuran I-PER
, O
Sr B-PER
. I-PER
Mehmet I-PER
Nezir I-PER
Ayan I-PER
, O
Sr B-PER
. I-PER
Yakup I-PER
Uyar I-PER
y O
Sr B-PER
. I-PER
Erdal I-PER
Güler I-PER
( O
" O
los O
demandantes O
" O
) O
, O
el B-DATE
1 I-DATE
de I-DATE
abril I-DATE
de I-DATE
2001 I-DATE
. O

Los O
demandantes O
estaban O
representados O
por O
el O
Sr B-LEGAL_PROFESSIONAL
. I-LEGAL_PROFESSIONAL
T I-LEGAL_PROFESSIONAL
. I-LEGAL_PROFESSIONAL
Elçi I-LEGAL_PROFESSIONAL
, O
abogado O
en O
ejercicio O
en O
Diyarbakır B-LOC
. O

El O
Gobierno O
turco B-NATIONALITY
( O
" O
el O
Gobierno O
" O
) O
no O
designó O
agente O
a O
efectos O
del O
procedimiento O
ante O
el O
Tribunal O
. O

El B-DATE
3 I-DATE
de I-DATE
noviembre I-DATE
de I-DATE
2005 I-DATE
, O
el O
Tribunal O
declaró O
la O
demanda O
parcialmente O
inadmisible O
y O
decidió O
comunicar O
al O
Gobierno O
la O
queja O
relativa O
al O
derecho O
de O
los O
demandantes O
a O
ser O
llevados O
sin O
demora O
ante O
un O
juez O
. O

En O
virtud O
de O
lo O
dispuesto O
en O
el O
artículo O
29 O
§ O
3 O
del O
Convenio O
, O
decidió O
examinar O
el O
fondo O
de O
la O
demanda O
al O
mismo O
tiempo O
que O
