sentence text labels

1 PROCÉDURE O

2 À O

2 l’origine O

2 de O

2 l’affaire O

2 se O

2 trouve O

2 une O

2 requête O

2 ( O

2 no O

2 57592 B-CODE

2 / I-CODE

2 08 I-CODE

2 ) O

2 dirigée O

2 contre O

2 le O

2 Royaume O

2 - O

2 Uni O

2 de O

2 Grande O

2 - O

2 Bretagne O

2 et O

2 d’Irlande O

2 du O

2 Nord O

2 et O

2 dont O

2 un O

2 ressortissant O

2 de O

2 cet O

2 État O

2 , O

2 M B-PER

2 . I-PER

2 Arthur I-PER

2 Hutchinson I-PER

2 ( O

2 « O

2 le O

2 requérant O

2 » O

2 ) O

2 , O

2 a O

2 saisi O

2 la O

2 Cour O

2 le O

2 10 B-DATETIME

2 novembre I-DATETIME

2 2008 I-DATETIME

2 en O

2 vertu O

2 de O

2 l’article O

2 34 O

2 de O

2 la O

2 Convention O

2 de O

2 sauvegarde O

2 des O

2 droits O

2 de O

2 l’homme O

2 et O

2 des O

2 libertés O

2 fondamentales O

2 ( O

2 « O

2 la O

2 Convention O

2 » O

2 ) O

2 . O

3 Le O

3 requérant O

3 , O

3 qui O

3 a O

3 été O

3 admis O

3 au O

3 bénéfice O

3 de O

3 l’assistance O

3 judiciaire O

3 , O

3 a O

3 été O

3 représenté O

3 par O

3 le O

3 cabinet O

3 Kyles B-ORG

3 Legal I-ORG

3 Practice I-ORG

3 , O

3 de O

3 North B-LOC

3 Shields I-LOC

3 . O

4 Le O

4 gouvernement O

4 britannique O

4 ( O

4 « O

4 le O

4 Gouvernement O

4 » O

4 ) O

4 a O

4 été O

4 représenté O

4 par O

4 son O

4 agent O

4 , O

4 M B-PER

4 . I-PER

4 P I-PER

4 . I-PER

4 McKell I-PER

4 , O

4 du O

4 ministère O

4 des O

4 Affaires O

4 étrangères O

4 et O

4 du O

4 Commonwealth O

4 . O

5 Le O

5 requérant O

5 alléguait O

5 en O

5 particulier O

5 que O

5 la O

5 peine O

5 de O

5 perpétuité O

5 réelle O

5 prononcée O

5 à O

5 son O

5 égard O

5 était O

5 incompatible O

5 avec O

5 l’article O

5 3 O

5 de O

5 la O

5 Convention O

5 . O

6 La O

6 requête O

6 a O

6 été O

6 attribuée O

6 à O

6 la O

6 quatrième O

6 section O

6 de O

6 la O

6 Cour O

6 ( O

6 article O

6 52 O

6 § O

6 1 O

6 du O

6 règlement O

6 de O

6 la O

6 Cour O

6 – O

6 « O

6 le O

6 règlement O

6 » O

6 ) O

6 . O

7 Le O

7 10 B-DATETIME

7 juillet I-DATETIME

7 2013 I-DATETIME

7 , O

7 le O

7 grief O

7 tiré O

7 de O

7 l’article O

7 3 O

7 a O

7 été O

7 communiqué O

7 au O

7 Gouvernement O

7 et O

7 la O

7 requête O

7 a O

7 été O

7 déclarée O

7 irrecevable O

